FACILITY_ID,LOOP_ID,EQUIPMENT_ID,CML_ID,INSPECTION_ID,STRATEGY_ID,DAMAGE_MECHANISM_ID,INSPECTION_STATUS,REMEDIATION_STATUS,INSPECTION_DATE,INSPECTION_REPORT_NUMBER,CML_TYPE,SCOPE_COMMENTS,PRELIMINARY_RECOMMENDATIONS,INSPECTION_SCOPE,WORK_ORDER,INSPECTOR_NAME,INPECTION_COMPANY,PHOTO,INSPECTION_COMMENTS,ERROR_CODE,COLOUR_CODE,RESPONSIBLE_SYSTEM,CORROSION_LEVEL,COMPLIANCE,SAMPLE_VALUE,NOMINAL_WALL_THICKNESS_MM,MANUAL_MIN_RWT,MIN_REMAINING_WALL_THICKNESS_MM,WALL_LOSS_MM,SERVICE_YEARS,CORROSION_RATE_SHORT_TERM_MM_YR,CORROSION_RATE_LONG_TERM_MM_YR,OPERATING_TEMPERATURE,COATING_CONDITION,INSULATION_CONDITION,INSULATION_TYPE,HEAT_TRACING,EXTERNAL_ENVIRONMENT,CUI_VALUE,PSV_ASSOC_EQUIP_HAZ_D_OR_E,PSV_CAN_OVER_PRESSURE,PSV_DESIGN_CASE,PSV_EQUIP_FAIL_REPORT_INCIDENT,PSV_COF,PSV_FAIL_TO_DANGER,PSV_NEW_APP_TYPE_SERVICE,PSV_FAIL_NOT_TO_DANGER,PSV_FAIL_LAST_THREE,PSV_POF,PSV_MAY_FAIL_IF_INTERVAL_INCREASED,PSV_INTVL_CHANGE_ALLOW,APPLIED_PSV_INSPECTION_INTERVAL,APPLIED_PSV_INSPECTION_INTERVAL_COMMENTS,GRID_MIN_RWT,AVERAGE_WT,COUNT_10_PERCENT_LOSS,COUNT_20_PERCENT_LOSS,COUNT_30_PERCENT_LOSS,COUNT_40_PERCENT_LOSS,COUNT_50_PERCENT_LOSS,COUNT_60_PERCENT_LOSS,COUNT_70_PERCENT_LOSS,COUNT_80_PERCENT_LOSS,COUNT_90_PERCENT_LOSS,COUNT_100_PERCENT_LOSS
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57036-01C02,6,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3007,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57036-01C02,7,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3008,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.675,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57036-01C02,8,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3009,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57036-01C02,9,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3010,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.625,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57036-01C02,10,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3011,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57037-01C02,1,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3012,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57037-01C02,2,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3013,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.675,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57037-01C02,3,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3014,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57037-01C02,4,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3015,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.575,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57037-01C02,5,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3016,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57038-01C02,1,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3017,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57038-01C02,2,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3018,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57038-01C02,3,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3019,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57038-01C02,4,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3020,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.375,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57038-01C02,5,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3021,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.725,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57075-01C02,1,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3024,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57075-01C02,2,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3025,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57075-01C02,3,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3026,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57075-01C02,4,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3027,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-DC-01,100-DC-57075-01C02,5,1,Internal,"Internal Wall Loss",P,NULL,2009-01-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,3028,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.875,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",UNDEFINED,100-FG-43075-01C02,5,1,Internal,"Internal Wall Loss",P,NULL,2008-12-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2309,NULL,04001,pink,NULL,NULL,NULL,NULL,6,6.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",UNDEFINED,100-FG-43075-01C02,6,1,Internal,"Internal Wall Loss",P,NULL,2008-12-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2310,NULL,04001,pink,NULL,NULL,NULL,NULL,6,6.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",UNDEFINED,100-FG-43075-01C02,7,1,Internal,"Internal Wall Loss",P,NULL,2008-12-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2311,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",UNDEFINED,100-FG-43075-01C02,8,1,Internal,"Internal Wall Loss",P,NULL,2008-12-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2312,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",UNDEFINED,100-FG-43075-01C02,9,1,Internal,"Internal Wall Loss",P,NULL,2008-12-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2313,NULL,04001,pink,NULL,NULL,NULL,NULL,6,5.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",UNDEFINED,100-FG-43075-01C02,10,1,Internal,"Internal Wall Loss",P,NULL,2008-12-17,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2314,NULL,04001,pink,NULL,NULL,NULL,NULL,6,6.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-PG-08,100-FG-45001-09C02,1,1,Internal,"Internal Wall Loss",P,NULL,2008-12-11,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2875,NULL,04001,pink,NULL,NULL,NULL,NULL,11.1,11.075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-PG-08,100-FG-45001-09C02,2,1,Internal,"Internal Wall Loss",P,NULL,2008-12-11,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2876,NULL,04001,pink,NULL,NULL,NULL,NULL,11.1,11.475,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-PG-08,100-FG-45001-09C02,3,1,Internal,"Internal Wall Loss",P,NULL,2008-12-11,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2877,NULL,04001,pink,NULL,NULL,NULL,NULL,11.1,11.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Montara FPSO",FPSO-CL-TS-PG-08,100-FG-45001-09C02,4,1,Internal,"Internal Wall Loss",P,NULL,2008-12-11,"2009 BL.xls",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2878,NULL,04001,pink,NULL,NULL,NULL,NULL,11.1,11.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
