Line Number,CML ID,CML Type,Diameter,Spec,Schedule,Diameter_Sch,Event.Comments,Last Date,12 O'Clock,3 O'Clock,6 O'Clock,9 O'Clock,Minimum,Scan Type
350-WF-71815-01F01,CML-3,CML: Elbow,100,01F01,80,10080,,1/03/2016,7,9.6,10.9,7.8,7,RADIAL
350-WF-71815-01F01,CML-5,CML: Elbow,100,1CG,40,10040,,26/02/2016,7.8,7.6,7.1,10.9,7.1,RADIAL
200-WS-50822-1CG,CML -2,CML: Elbow,200,,40,20040,,10/06/2015,7,3.7,4.5,3,3,RADIAL
300-WF-71816-01F01,CML-14,CML: Reducing Tee,250,01F01,80,25080,,22/02/2016,18.1,18.5,21.7,18.2,18.1,RADIAL
100-WF-71938-01F01,CML-1,CML: Elbow,100,1CG,80,10080,,1/01/2016,12.4,10,8.7,9.2,8.7,RADIAL
80-WS-50811-1LC,CML -3,CML: Equal Tee,80,1LC,80,8080,,11/06/2015,9.3,12.9,10.5,9.3,9.3,RADIAL
150-DH-56801-1CS,CML -2,CML: Elbow,100,1CS,XS,100XS,,15/06/2015,9.4,9.5,5.4,9.5,5.4,RADIAL
150-CW-33861-1LC,CML 1,CML: Equal Tee,150,1LC,XS,150XS,,21/06/2015,13.8,15.1,17.7,16.3,13.8,RADIAL
100-WC-40801-1CS,CML-10,CML: Fitting,100,1CS,XS,100XS,,28/08/2015,9.3,10.6,8.3,9.6,8.3,RADIAL
350-WF-71815-01F01,CML-3,CML: Reducer,50,1CG,80,5080,,26/08/2015,4.6,7.8,7.6,8.1,4.6,RADIAL
50-WF-71956-01F01,CML-6,CML: Reducing Tee,50,1CG,80,5080,,2/01/2016,12,14.9,15.1,15.6,12,RADIAL
50-WF-71919-01F01,CML-1,CML: Elbow,50,1CG,80,5080,,30/12/2015,7,10,7.3,6.3,6.3,RADIAL
50-WF-71963-01F01,CML-1,CML: Elbow,50,01F01,80,5080,,17/02/2016,12.1,9.5,8.3,9.3,8.3,RADIAL
350-WF-71815-01F01,CML-4,CML: Reducer,50,1CG,80,5080,,26/08/2015,4.1,6.8,7.9,6.7,4.1,RADIAL
350-WF-71815-01F01,CML-31,CML: Elbow,400,1CG,80,40080,,11/02/2016,22.6,21.3,19.6,19.1,19.1,RADIAL
350-WF-71815-01F01,CML-31,CML: Elbow,400,1CG,80,40080,,11/02/2016,22.6,21.3,19.6,19.1,19.1,RADIAL
50-WF-71916-01F01,CML-3,CML: Elbow,50,1CG,80,5080,,30/12/2015,9.7,6.1,7.1,6.7,6.1,RADIAL
200-WS-50822-1CG,CML -8,CML: Elbow,200,,40,20040,,10/06/2015,3.7,7.1,6.5,7,3.7,RADIAL
150-CW-33846-1LC,CML 3,CML: Reducing Tee,125,1LC,XS,125XS,,23/06/2015,13.5,13.2,12.4,16.1,12.4,RADIAL
125-CW-33848-1LC,CML 1,CML: Reducer,125,1LC,XS,125XS,,23/06/2015,10.6,11.1,10,7.5,7.5,RADIAL
300-WS-50806-1LC,CML -11,CML: Elbow,300,1LC,XS,300XS,,12/06/2015,12.9,15.8,15.4,12.8,12.8,RADIAL
150-CW-33856-1LC,CML 3,CML: Reducing Tee,125,1LC,XS,125XS,,26/06/2015,13.2,10.5,9.5,10.5,9.5,RADIAL
80-WF-71830-01F01,CML 7,CML: Reducing Tee,150,1LC,XS,150XS,,21/06/2015,13.6,10.5,11,10.1,10.1,RADIAL
350-WF-71815-01F01,CML-8,CML: Elbow,50,1CG,80,5080,,3/09/2015,6.3,9.6,6.6,6.5,6.3,RADIAL
300-WF-71818-01F01,CML-13,CML: Elbow,300,01F01,80,30080,,16/02/2016,20.4,17.1,20.4,19.3,17.1,RADIAL
350-WF-71815-01F01,CML 31,CML: Equal Tee,250,1LC,XS,250XS,,15/05/2015,8.9,12.3,12,10.6,8.9,RADIAL
350-WF-71815-01F01,CML 31,CML: Equal Tee,250,1LC,XS,250XS,,15/05/2015,8.9,12.3,12,10.6,8.9,RADIAL
50-WF-71956-01F01,CML-1,CML: Elbow,40,1CG,160,40160,,2/01/2016,9.8,6.8,9.2,10.2,6.8,RADIAL
65-OC-30806-1LC,CML-3,CML: Elbow,65,1LC,80,6580,,11/09/2015,11.5,10.3,7.8,9.5,7.8,RADIAL
50-WF-71951-01F01,CML-2,CML: Elbow,50,1CG,80,5080,,31/12/2015,4.9,7.1,8.6,6.7,4.9,RADIAL
350-WF-71815-01F01,CML-27,CML: Elbow,65,01F01,80,6580,,27/08/2015,7,9.5,10.3,7.8,7,RADIAL
50-WF-71954-01F01,CML-5,CML: Elbow,40,1CG,160,40160,,18/01/2016,7.5,9.2,11.2,9.5,7.5,RADIAL
100-WF-71827-01F01,CML-6,CML: Elbow,50,1CG,80,5080,,3/09/2015,9.8,6.8,6.6,7,6.6,RADIAL
150-DH-56801-1CS,CML -2,CML: Elbow,100,1CS,XS,100XS,,15/06/2015,9.4,9.5,5.4,9.5,5.4,RADIAL
100-DH-56507-1CS,CML -1,CML: Elbow,100,1CS,XS,100XS,,14/06/2015,6.7,5.6,7.6,8.4,5.6,RADIAL
100-DN-56829-1CG,CML-13,CML: Elbow,150,1CG,40,15040,,27/02/2016,7.7,7.9,8.2,7.4,7.4,RADIAL
350-WF-71815-01F01,CML-5,CML: Equal Tee,80,01F01,80,8080,,16/02/2016,8.5,11,12.1,10.7,8.5,RADIAL
250-WF-71800-01F01,CML-1,CML: Equal Tee,65,01F01,80,6580,,16/02/2016,16.3,18.3,19.9,18.8,16.3,RADIAL
350-WF-71815-01F01,CML-9,CML: Elbow,50,1CG,80,5080,,3/09/2015,6,6.3,7,9.3,6,RADIAL
350-WF-71815-01F01,CML-67,CML: Elbow,400,1CG,80,40080,,11/02/2016,19.7,21.2,22.4,23.1,19.7,RADIAL
350-WF-71815-01F01,CML-67,CML: Elbow,400,1CG,80,40080,,11/02/2016,19.7,21.2,22.4,23.1,19.7,RADIAL
50-WF-71920-01F01,CML-5,CML: Elbow,40,1CG,160,40160,,31/12/2015,11.6,9.5,9.5,12.4,9.5,RADIAL
350-WF-71815-01F01,CML 25,CML: Reducing Tee,250,1LC,XS,250XS,,21/06/2015,18.8,18.4,15.5,17.3,15.5,RADIAL
350-WF-71815-01F01,CML-149,CML: Elbow,25,1CG,160,25160,,11/02/2016,22.4,19.3,19.5,19.6,19.3,RADIAL
350-WF-71815-01F01,CML-149,CML: Elbow,25,1CG,160,25160,,11/02/2016,22.4,19.3,19.5,19.6,19.3,RADIAL
50-WF-71939-01F01,CML-1,CML: Elbow,40,1CG,160,40160,,1/01/2016,9.2,11.8,8.7,8.8,8.7,RADIAL
100-FG-45809-1CS,CML 17,CML: Elbow,100,01C02,XS,100XS,,8/08/2015,6.7,5.3,6.5,7,5.3,RADIAL
100-WF-71923-01F01,CML-7,CML: Elbow,100,1CG,80,10080,,3/01/2016,12.5,9.7,9.2,10.1,9.2,RADIAL
50-WF-71920-01F01,CML-6,CML: Elbow,40,1CG,160,40160,,31/12/2015,9.3,11.8,11.8,12.7,9.3,RADIAL
50-WF-71953-01F01,CML-7,CML: Elbow,40,1CG,160,40160,,18/01/2016,7.6,8.4,11,8.7,7.6,RADIAL
100-WF-71827-01F01,CML-11,CML: Elbow,50,1CG,80,5080,,3/09/2015,9.8,7.4,6.6,6.9,6.6,RADIAL
50-WF-71963-01F01,CML-3,CML: Elbow,50,01F01,80,5080,,17/02/2016,12.1,9.1,9.2,9.3,9.1,RADIAL
80-WS-50811-1LC,CML -6,CML: Elbow,80,1LC,80,8080,,11/06/2015,8.3,7.8,9.2,11.1,7.8,RADIAL
250-WF-71800-01F01,CML-8,CML: Equal Tee,250,1CG,80,25080,,15/02/2016,16.9,17.5,15.5,19,15.5,RADIAL
150-WF-71803-01F01,CML-12,CML: Elbow,25,01F01,160,25160,,21/02/2016,11.3,8.5,8.1,8.8,8.1,RADIAL
300-PW-44802-1LC,CML 2,CML: Elbow,300,1LC,XS,300XS,,16/05/2015,10.6,12.8,13.8,13.5,10.6,RADIAL
300-WF-71816-01F01,CML-4,CML: Equal Tee,250,1CG,80,25080,,7/06/2015,18.6,20.3,17.6,17,17,RADIAL
350-WF-71824-01F01,CML-15,CML: Elbow,350,01F01,XS,350XS,,5/03/2016,23.1,20.7,24.1,22.7,20.7,RADIAL
100-DH-56505-1CS,CML -3,CML: Elbow,100,1CS,XS,100XS,,14/06/2015,6,7.1,8.6,8.6,6,RADIAL
250-WF-71800-01F01,CML -6,CML: Elbow,300,1LC,XS,300XS,,12/06/2015,16.4,16.9,14.4,14.1,14.1,RADIAL
50-WF-71912-01F01,CML-3,CML: Elbow,40,1CG,160,40160,,30/12/2015,8,7.5,10.6,9.4,7.5,RADIAL
50-WF-71958-01F01,CML-8,CML: Elbow,40,1CG,160,40160,,17/01/2016,7,8.5,8.9,10.4,7,RADIAL
50-WF-71919-01F01,CML-5,CML: Elbow,40,1CG,160,40160,,30/12/2015,7.8,8.2,10.9,8.6,7.8,RADIAL
450-WS-50804-1LC,CML -20,CML: Equal Tee,450,1LC,XS,450XS,,11/06/2015,12.3,12.3,14.9,14.5,12.3,RADIAL
50-WF-71957-01F01,CML-3,CML: Elbow,40,1CG,160,40160,,2/01/2016,11.7,9.6,8.4,10,8.4,RADIAL
50-WF-71959-01F01,CML-3,CML: Elbow,40,1CG,160,40160,,2/01/2016,8.2,8.9,11.2,8.5,8.2,RADIAL
100-WF-71923-01F01,CML-5,CML: Elbow,100,1CG,80,10080,,3/01/2016,8.8,9.6,12,10.3,8.8,RADIAL
350-WF-71815-01F01,CML-30,CML: Elbow,65,01F01,80,6580,,27/08/2015,8.5,6.6,8.2,9.9,6.6,RADIAL
100-WF-71827-01F01,CML-19,CML: Reducing Tee,100,01F01,80,10080,,1/03/2016,9.8,10.1,9.2,12.3,9.2,RADIAL
350-WF-71815-01F01,CML-23,CML: Elbow,65,01F01,80,6580,,27/08/2015,7.1,6.2,7.8,9.4,6.2,RADIAL
350-WF-71815-01F01,CML-6,CML: Elbow,50,1CG,80,5080,,27/08/2015,6,,3.3,4.6,3.3,RADIAL
100-FG-45809-1CS,CML 9,CML: Pipe Length,100,01C02,XS,100XS,,8/08/2015,6.7,5.3,6.5,6.5,5.3,RADIAL
350-WF-71815-01F01,CML-7,CML: Elbow,65,01F01,80,6580,,16/02/2016,8.9,7.3,9.1,10.6,7.3,RADIAL
350-WF-71815-01F01,CML-172,CML: Elbow,350,1CG,80,35080,,11/02/2016,19.5,18.2,21,21,18.2,RADIAL
350-WF-71815-01F01,CML-172,CML: Elbow,350,1CG,80,35080,,11/02/2016,19.5,18.2,21,21,18.2,RADIAL
350-WF-71815-01F01,CML-7,CML: Elbow,100,01F01,80,10080,,1/03/2016,6,7.9,8.9,6.4,6,RADIAL
250-DC-57803-1CS,CML-7,CML: Elbow,250,01F01,80,25080,,22/02/2016,15.5,14.6,17.8,16.1,14.6,RADIAL
50-WF-71955-01F01,CML-8,CML: Elbow,40,1CG,160,40160,,16/01/2016,7.1,9.2,9.2,10.3,7.1,RADIAL
100-WF-71827-01F01,CML-10,CML: Elbow,100,1CG,80,10080,,15/02/2016,8.3,10.3,10.9,11.3,8.3,RADIAL
80-WS-50810-1LC,CML -1,CML: Elbow,80,1LC,80,8080,,11/06/2015,8.5,10,7.3,7.1,7.1,RADIAL
300-WF-71880-01F01,CML-7,CML: Elbow,300,1CG,80,30080,,14/02/2016,19.5,17.6,19.5,16.9,16.9,RADIAL
80-WF-71830-01F01,CML-1,CML: Equal Tee,150,01F01,80,15080,,17/02/2016,12.7,11.7,9.6,10.8,9.6,RADIAL
350-WF-71815-01F01,CML-4,CML: Elbow,50,1CG,80,5080,,3/09/2015,8.4,6.7,7.6,9.8,6.7,RADIAL
50-WF-71940-01F01,CML-1,CML: Elbow,40,1CG,160,40160,,1/01/2016,7.4,8.6,10.5,8.2,7.4,RADIAL
50-WF-71915-01F01,CML-4,CML: Elbow,40,1CG,160,40160,,30/12/2015,8,10.3,11,10.3,8,RADIAL
300-WF-71816-01F01,CML-4,CML: Equal Tee,300,01F01,80,30080,,15/02/2016,19.4,16.5,16.8,17.6,16.5,RADIAL
125-WS-50833-1CG,CML-7,CML: Elbow,125,1CG,80,12580,,8/06/2015,9.2,10.1,11.2,12.2,9.2,RADIAL
350-WF-71815-01F01,CML-44,CML: Elbow,400,1CG,80,40080,,11/02/2016,22.5,21.4,19.4,21.5,19.4,RADIAL
350-WF-71815-01F01,CML-44,CML: Elbow,400,1CG,80,40080,,11/02/2016,22.5,21.4,19.4,21.5,19.4,RADIAL
350-WF-71815-01F01,CML-41,CML: Elbow,400,1CG,80,40080,,11/02/2016,19.2,21.1,21.9,22,19.2,RADIAL
350-WF-71815-01F01,CML-41,CML: Elbow,400,1CG,80,40080,,11/02/2016,19.2,21.1,21.9,22,19.2,RADIAL
300-WF-71817-01F01,CML-4,CML: Elbow,300,1CG,80,30080,,14/02/2016,15,14.3,12.1,13.1,12.1,RADIAL
50-WF-71927-01F01,CML-2,CML: Reducing Tee,50,1CG,80,5080,,3/01/2016,13.3,15.8,14.6,16.1,13.3,RADIAL
100-WF-71941-01F01,CML-14,CML: Elbow,100,1CG,80,10080,,18/01/2016,8.6,10.3,11.7,10.3,8.6,RADIAL
65-WS-50842-1CG,CML -1,CML: Reducer,100,01F01,80,10080,,13/06/2015,10.3,12.4,10,9.5,9.5,RADIAL
50-WF-71959-01F01,CML-2,CML: Elbow,40,1CG,160,40160,,2/01/2016,11.4,8.5,9.3,9.1,8.5,RADIAL
150-DH-56802-1CS,CML -3,CML: Elbow,100,1CS,XS,100XS,,15/06/2015,8.2,7.8,6.3,7.9,6.3,RADIAL
350-WF-71815-01F01,CML-43,CML: Elbow,400,1CG,80,40080,,11/02/2016,22.4,19.5,20.9,20.1,19.5,RADIAL
350-WF-71815-01F01,CML-43,CML: Elbow,400,1CG,80,40080,,11/02/2016,22.4,19.5,20.9,20.1,19.5,RADIAL
350-WF-71815-01F01,CML-29,CML: Elbow,65,01F01,80,6580,,27/08/2015,6.8,7.4,9.4,9,6.8,RADIAL
