FACILITY_ID,LOOP_ID,EQUIPMENT_ID,CML_ID,INSPECTION_ID,STRATEGY_ID,DAMAGE_MECHANISM_ID,INSPECTION_STATUS,ACTION_STATUS,INSPECTION_DATE,INSPECTION_REPORT_NUMBER,CML_TYPE,SCOPE_COMMENTS,PRELIMINARY_RECOMMENDATIONS,INSPECTION_SCOPE,WORK_ORDER,INSPECTOR_NAME,INPECTION_COMPANY,PHOTO,INSPECTION_COMMENTS,EXACT_MATCH,CLOSEST_MATCH,ERROR_CODE,COLOUR_CODE,RESPONSIBLE_SYSTEM,NOMINAL_WALL_THICKNESS_MM,MANUAL_MIN_RWT,MIN_REMAINING_WALL_THICKNESS_MM,WALL_LOSS_MM,SERVICE_YEARS,CORROSION_RATE_SHORT_TERM_MM_YR,CORROSION_RATE_LONG_TERM_MM_YR,OPERATING_TEMPERATURE,COATING_CONDITION,INSULATION_CONDITION,INSULATION_TYPE,HEAT_TRACING,EXTERNAL_ENVIRONMENT,CUI_VALUE,PSV_ASSOC_EQUIP_HAZ_D_OR_E,PSV_CAN_OVER_PRESSURE,PSV_DESIGN_CASE,PSV_EQUIP_FAIL_REPORT_INCIDENT,PSV_COF,PSV_FAIL_TO_DANGER,PSV_NEW_APP_TYPE_SERVICE,PSV_FAIL_NOT_TO_DANGER,PSV_FAIL_LAST_THREE,PSV_POF,PSV_MAY_FAIL_IF_INTERVAL_INCREASED,PSV_INTVL_CHANGE_ALLOW,APPLIED_PSV_INSPECTION_INTERVAL,APPLIED_PSV_INSPECTION_INTERVAL_COMMENTS,GRID_MIN_RWT,AVERAGE_WT,COUNT_10_PERCENT_LOSS,COUNT_20_PERCENT_LOSS,COUNT_30_PERCENT_LOSS,COUNT_40_PERCENT_LOSS,COUNT_50_PERCENT_LOSS,COUNT_60_PERCENT_LOSS,COUNT_70_PERCENT_LOSS,COUNT_80_PERCENT_LOSS,COUNT_90_PERCENT_LOSS,COUNT_100_PERCENT_LOSS
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57035-01C02,2,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Elbow Thickness,,,,,,,2,,,,13001,"255,255,255,1",Topsides - Piping,6,5.325,5.2,0.8,-3.9589,-0.202076,-0.202076,,,,,,,,,,,,,,,,,,,,,,5.2,5.325,3,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57035-01C02,3,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Elbow Thickness,,,,,,,3,Below Spec,,,13001,"255,255,255,1",Topsides - Piping,6,5,5,1,-3.9589,-0.252595,-0.252595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57035-01C02,4,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Elbow Thickness,,,,,,,4,Below Spec,,,13001,"255,255,255,1",Topsides - Piping,6,5.25,5.1,0.9,-3.9589,-0.227336,-0.227336,,,,,,,,,,,,,,,,,,,,,,5.1,5.25,4,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57035-01C02,5,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Piping Thickness,,,,,,,5,,,,13001,"255,255,255,1",Topsides - Piping,6,6.075,5.5,0.5,-3.9589,-0.126298,-0.126298,,,,,,,,,,,,,,,,,,,,,,5.5,6.075,0,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57036-01C02,1,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Piping Thickness,,,,,,,6,,,,13001,"255,255,255,1",Topsides - Piping,6,5.95,5.8,0.2,-3.9589,-0.050519,-0.050519,,,,,,,,,,,,,,,,,,,,,,5.8,5.95,0,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57036-01C02,10,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Piping Thickness,,,,,,,15,,,,13001,"255,255,255,1",Topsides - Piping,6,5.75,5.7,0.3,-3.9589,-0.0757786,-0.0757786,,,,,,,,,,,,,,,,,,,,,,5.7,5.75,0,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57036-01C02,2,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Elbow Thickness,,,,,,,7,,,,13001,"255,255,255,1",Topsides - Piping,6,5.775,5.7,0.3,-3.9589,-0.0757786,-0.0757786,,,,,,,,,,,,,,,,,,,,,,5.7,5.775,0,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57036-01C02,3,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Elbow Thickness,,,,,,,8,Below Spec,,,13001,"255,255,255,1",Topsides - Piping,6,5.1,5.1,0.9,-3.9589,-0.227336,-0.227336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57036-01C02,4,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Elbow Thickness,,,,,,,9,,,,13001,"255,255,255,1",Topsides - Piping,6,5.85,5.7,0.3,-3.9589,-0.0757786,-0.0757786,,,,,,,,,,,,,,,,,,,,,,5.7,5.85,0,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57036-01C02,5,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Piping Thickness,,,,,,,10,,,,13001,"255,255,255,1",Topsides - Piping,6,5.975,5.9,0.0999999,-3.9589,-0.0252595,-0.0252595,,,,,,,,,,,,,,,,,,,,,,5.9,5.975,0,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57036-01C02,6,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Piping Thickness,,,,,,,11,,,,13001,"255,255,255,1",Topsides - Piping,6,5.75,5.7,0.3,-3.9589,-0.0757786,-0.0757786,,,,,,,,,,,,,,,,,,,,,,5.7,5.75,0,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57036-01C02,7,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Elbow Thickness,,,,,,,12,,,,13001,"255,255,255,1",Topsides - Piping,6,5.675,5.5,0.5,-3.9589,-0.126298,-0.126298,,,,,,,,,,,,,,,,,,,,,,5.5,5.675,0,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57036-01C02,8,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Elbow Thickness,,,,,,,13,,,,13001,"255,255,255,1",Topsides - Piping,6,5.3,5.3,0.7,-3.9589,-0.176817,-0.176817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57036-01C02,9,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Elbow Thickness,,,,,,,14,,,,13001,"255,255,255,1",Topsides - Piping,6,5.625,5.4,0.6,-3.9589,-0.151557,-0.151557,,,,,,,,,,,,,,,,,,,,,,5.4,5.625,0,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57037-01C02,1,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Piping Thickness,,,,,,,16,,,,13001,"255,255,255,1",Topsides - Piping,6,5.95,5.8,0.2,-3.9589,-0.050519,-0.050519,,,,,,,,,,,,,,,,,,,,,,5.8,5.95,0,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57037-01C02,2,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Elbow Thickness,,,,,,,17,,,,13001,"255,255,255,1",Topsides - Piping,6,5.675,5.4,0.6,-3.9589,-0.151557,-0.151557,,,,,,,,,,,,,,,,,,,,,,5.4,5.675,0,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57037-01C02,3,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Elbow Thickness,,,,,,,18,,,,13001,"255,255,255,1",Topsides - Piping,6,5.5,5.5,0.5,-3.9589,-0.126298,-0.126298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57037-01C02,4,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Elbow Thickness,,,,,,,19,,,,13001,"255,255,255,1",Topsides - Piping,6,5.575,5.4,0.6,-3.9589,-0.151557,-0.151557,,,,,,,,,,,,,,,,,,,,,,5.4,5.575,0,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57037-01C02,5,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Piping Thickness,,,,,,,20,,,,13001,"255,255,255,1",Topsides - Piping,6,5.875,5.7,0.3,-3.9589,-0.0757786,-0.0757786,,,,,,,,,,,,,,,,,,,,,,5.7,5.875,0,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57038-01C02,1,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Piping Thickness,,,,,,,21,,,,13001,"255,255,255,1",Topsides - Piping,6,5.65,5.5,0.5,-3.9589,-0.126298,-0.126298,,,,,,,,,,,,,,,,,,,,,,5.5,5.65,0,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57038-01C02,2,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Elbow Thickness,,,,,,,22,,,,13001,"255,255,255,1",Topsides - Piping,6,5.5,5.3,0.7,-3.9589,-0.176817,-0.176817,,,,,,,,,,,,,,,,,,,,,,5.3,5.5,1,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57038-01C02,3,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Elbow Thickness,,,,,,,23,,,,13001,"255,255,255,1",Topsides - Piping,6,5.2,5.2,0.8,-3.9589,-0.202076,-0.202076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57038-01C02,4,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Elbow Thickness,,,,,,,24,,,,13001,"255,255,255,1",Topsides - Piping,6,5.375,5.3,0.7,-3.9589,-0.176817,-0.176817,,,,,,,,,,,,,,,,,,,,,,5.3,5.375,1,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57038-01C02,5,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Piping Thickness,,,,,,,25,,,,13001,"255,255,255,1",Topsides - Piping,6,5.725,5.4,0.6,-3.9589,-0.151557,-0.151557,,,,,,,,,,,,,,,,,,,,,,5.4,5.725,0,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57075-01C02,1,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Piping Thickness,,,,,,,26,,,,13001,"255,255,255,1",Topsides - Piping,6,5.65,5.4,0.6,-3.9589,-0.151557,-0.151557,,,,,,,,,,,,,,,,,,,,,,5.4,5.65,0,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57075-01C02,2,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Elbow Thickness,,,,,,,27,,,,13001,"255,255,255,1",Topsides - Piping,6,5.6,5.5,0.5,-3.9589,-0.126298,-0.126298,,,,,,,,,,,,,,,,,,,,,,5.5,5.6,0,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57075-01C02,3,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Elbow Thickness,,,,,,,28,,,,13001,"255,255,255,1",Topsides - Piping,6,5.3,5.3,0.7,-3.9589,-0.176817,-0.176817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57075-01C02,4,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Elbow Thickness,,,,,,,29,,,,13001,"255,255,255,1",Topsides - Piping,6,5.7,5.6,0.4,-3.9589,-0.101038,-0.101038,,,,,,,,,,,,,,,,,,,,,,5.6,5.7,0,0,0,0,0,0,0,0,0,0
Montara FPSO,FPSO-CL-TS-DC-01,100-DC-57075-01C02,5,1,Internal,Internal Wall Loss,A,,17/01/2009,2009 BL.xls,Piping Thickness,,,,,,,30,,,,13001,"255,255,255,1",Topsides - Piping,6,5.875,5.7,0.3,-3.9589,-0.0757786,-0.0757786,,,,,,,,,,,,,,,,,,,,,,5.7,5.875,0,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56502-1CS,2,1,Internal,Internal Wall Loss,A,,15/06/2015,,Piping Thickness,,,,,,,5673,,,,13001,"255,255,255,1",,8.56,9.1,9.1,-0.54,2.45205,-0.220223,-0.220223,,,,,,,,,,,,,,,,,,,,,,9.1,9.975,0,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56505-1CS,1,1,Internal,Internal Wall Loss,A,,14/06/2015,,Elbow Thickness,,,,,,,5674,,,,13001,"255,255,255,1",,8.56,6.8,6.8,1.76,2.44932,0.718568,0.718568,,,,,,,,,,,,,,,,,,,,,,6.8,7.6,2,1,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56505-1CS,2,1,Internal,Internal Wall Loss,A,,14/06/2015,,Piping Thickness,,,,,,,5675,,,,13001,"255,255,255,1",,8.56,7.1,7.1,1.46,2.44932,0.596085,0.596085,,,,,,,,,,,,,,,,,,,,,,7.1,7.65,1,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56505-1CS,3,1,Internal,Internal Wall Loss,A,,14/06/2015,,Elbow Thickness,,,,,,,5676,,,,13001,"255,255,255,1",,8.56,6,6,2.56,2.44932,1.04519,1.04519,,,,,,,,,,,,,,,,,,,,,,6,7.575,2,1,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56505-1CS,4,1,Internal,Internal Wall Loss,A,,14/06/2015,,Elbow Thickness,,,,,,,5677,,,,13001,"255,255,255,1",,8.56,7.5,7.5,1.06,2.44932,0.432774,0.432774,,,,,,,,,,,,,,,,,,,,,,7.5,7.825,1,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56505-1CS,5,1,Internal,Internal Wall Loss,A,,14/06/2015,,Piping Thickness,,,,,,,5678,,,,13001,"255,255,255,1",,8.56,4.5,4.5,4.06,2.44932,1.65761,1.65761,,,,,,,,,,,,,,,,,,,,,,4.5,6.825,3,1,1,1,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56505-1CS,6,1,Internal,Internal Wall Loss,A,,14/06/2015,,Elbow Thickness,,,,,,,5679,,,,13001,"255,255,255,1",,8.56,7.2,7.2,1.36,2.44932,0.555257,0.555257,,,,,,,,,,,,,,,,,,,,,,7.2,7.625,3,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56506-1CS,1,1,Internal,Internal Wall Loss,A,,14/06/2015,,Elbow Thickness,,,,,,,5680,,,,13001,"255,255,255,1",,8.56,7.4,7.4,1.16,2.44932,0.473602,0.473602,,,,,,,,,,,,,,,,,,,,,,7.4,7.8,2,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56506-1CS,2,1,Internal,Internal Wall Loss,A,,14/06/2015,,Piping Thickness,,,,,,,5681,,,,13001,"255,255,255,1",,8.56,7.1,7.1,1.46,2.44932,0.596085,0.596085,,,,,,,,,,,,,,,,,,,,,,7.1,7.75,2,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56506-1CS,3,1,Internal,Internal Wall Loss,A,,14/06/2015,,Elbow Thickness,,,,,,,5682,,,,13001,"255,255,255,1",,8.56,7.2,7.2,1.36,2.44932,0.555257,0.555257,,,,,,,,,,,,,,,,,,,,,,7.2,7.95,1,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56506-1CS,4,1,Internal,Internal Wall Loss,A,,14/06/2015,,Elbow Thickness,,,,,,,5683,,,,13001,"255,255,255,1",,8.56,7.5,7.5,1.06,2.44932,0.432774,0.432774,,,,,,,,,,,,,,,,,,,,,,7.5,8.2,1,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56506-1CS,5,1,Internal,Internal Wall Loss,A,,14/06/2015,,Piping Thickness,,,,,,,5684,,,,13001,"255,255,255,1",,8.56,10.5,10.5,-1.94,2.44932,-0.792058,-0.792058,,,,,,,,,,,,,,,,,,,,,,10.5,11,0,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56506-1CS,6,1,Internal,Internal Wall Loss,A,,14/06/2015,,Elbow Thickness,,,,,,,5685,,,,13001,"255,255,255,1",,8.56,7.3,7.3,1.26,2.44932,0.51443,0.51443,,,,,,,,,,,,,,,,,,,,,,7.3,7.5,3,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56506-1CS,7,1,Internal,Internal Wall Loss,A,,14/06/2015,,Elbow Thickness,,,,,,,5686,,,,13001,"255,255,255,1",,8.56,7.4,7.4,1.16,2.44932,0.473602,0.473602,,,,,,,,,,,,,,,,,,,,,,7.4,8.15,1,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56506-1CS,8,1,Internal,Internal Wall Loss,A,,14/06/2015,,Elbow Thickness,,,,,,,5687,,,,13001,"255,255,255,1",,8.56,7.5,7.5,1.06,2.44932,0.432774,0.432774,,,,,,,,,,,,,,,,,,,,,,7.5,8.15,1,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56507-1CS,1,1,Internal,Internal Wall Loss,A,,14/06/2015,,Elbow Thickness,,,,,,,5688,,,,13001,"255,255,255,1",,8.56,5.6,5.6,2.96,2.44932,1.2085,1.2085,,,,,,,,,,,,,,,,,,,,,,5.6,7.075,3,2,1,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56507-1CS,2,1,Internal,Internal Wall Loss,A,,14/06/2015,,Piping Thickness,,,,,,,5689,,,,13001,"255,255,255,1",,8.56,7.5,7.5,1.06,2.44932,0.432774,0.432774,,,,,,,,,,,,,,,,,,,,,,7.5,8.25,1,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56507-1CS,3,1,Internal,Internal Wall Loss,A,,14/06/2015,,Elbow Thickness,,,,,,,5690,,,,13001,"255,255,255,1",,8.56,6.7,6.7,1.86,2.44932,0.759396,0.759396,,,,,,,,,,,,,,,,,,,,,,6.7,7.95,1,1,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56507-1CS,4,1,Internal,Internal Wall Loss,A,,14/06/2015,,Elbow Thickness,,,,,,,5691,,,,13001,"255,255,255,1",,8.56,7.3,7.3,1.26,2.44932,0.51443,0.51443,,,,,,,,,,,,,,,,,,,,,,7.3,7.725,2,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56507-1CS,5,1,Internal,Internal Wall Loss,A,,14/06/2015,,Piping Thickness,,,,,,,5692,,,,13001,"255,255,255,1",,8.56,4.9,4.9,3.66,2.44932,1.4943,1.4943,,,,,,,,,,,,,,,,,,,,,,4.9,7.9,1,1,1,1,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56507-1CS,6,1,Internal,Internal Wall Loss,A,,14/06/2015,,Elbow Thickness,,,,,,,5693,,,,13001,"255,255,255,1",,8.56,7.4,7.4,1.16,2.44932,0.473602,0.473602,,,,,,,,,,,,,,,,,,,,,,7.4,7.6,3,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56508-1CS,1,1,Internal,Internal Wall Loss,A,,14/06/2015,,Elbow Thickness,,,,,,,5694,,,,13001,"255,255,255,1",,8.56,7.4,7.4,1.16,2.44932,0.473602,0.473602,,,,,,,,,,,,,,,,,,,,,,7.4,7.9,1,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56508-1CS,2,1,Internal,Internal Wall Loss,A,,14/06/2015,,Piping Thickness,,,,,,,5695,,,,13001,"255,255,255,1",,8.56,6.8,6.8,1.76,2.44932,0.718568,0.718568,,,,,,,,,,,,,,,,,,,,,,6.8,7.425,3,1,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56508-1CS,3,1,Internal,Internal Wall Loss,A,,14/06/2015,,Elbow Thickness,,,,,,,5696,,,,13001,"255,255,255,1",,8.56,7.4,7.4,1.16,2.44932,0.473602,0.473602,,,,,,,,,,,,,,,,,,,,,,7.4,8.125,1,0,0,0,0,0,0,0,0,0
Montara FPSO,UNDEFINED,100-DH-56508-1CS,4,1,Internal,Internal Wall Loss,A,,14/06/2015,,Elbow Thickness,,,,,,,5697,,,,13001,"255,255,255,1",,8.56,7.4,7.4,1.16,2.44932,0.473602,0.473602,,,,,,,,,,,,,,,,,,,,,,7.4,8.225,1,0,0,0,0,0,0,0,0,0
