LOOKUP_VALUE,LOOKUP_RESULT
100-WC-40020-01C02,FPSO-CL-TS-WC-01
100-WC-40027-01C02,FPSO-CL-TS-WC-01
100-WC-40034-01C02,FPSO-CL-TS-WC-01
100-WC-40035-01C02,FPSO-CL-TS-WC-01
100-WC-40057-01C02,FPSO-CL-TS-WC-01
100-WC-40062-01C02,FPSO-CL-TS-WC-01
100-WC-40067-01C02,FPSO-CL-TS-WC-01
100-WC-40069-01C02,FPSO-CL-TS-WC-01
100-WC-40402-01C02,FPSO-CL-TS-WC-01
100-WC-40403-01C02,FPSO-CL-TS-WC-01
100-WC-40510-1CG,FPSO-CL-TS-WC-02
100-WC-40516-1CG,FPSO-CL-TS-WC-02
100-WC-4057-1CG,FPSO-CL-TS-WC-02
100-WF-71008-01E01,RD-01
100-WF-71009-01E01,RD-01
100-WF-71019-01E01,RD-01
100-WF-71021-01E01,RD-01
100-WF-71026-01E01,RD-01
100-WF-71027-01E01,RD-01
100-WF-71028-01E01,RD-01
100-WF-71036-01E01,RD-01
100-WF-71037-01E01,RD-01
100-WF-71039-01E01,RD-01
100-WF-71308-01K01,FPSO-CL-TS-WF-01
100-WF-71309-01K01,FPSO-CL-TS-WF-01
100-WF-71315-01K01,FPSO-CL-TS-WF-01
100-WF-71319-01K01,FPSO-CL-TS-WF-01
100-WF-71321-01K01,FPSO-CL-TS-WF-01
100-WF-71326-01K01,FPSO-CL-TS-WF-01
100-WF-71327-01K01,FPSO-CL-TS-WF-01
100-WF-71328-01K01,FPSO-CL-TS-WF-01
100-WF-71336-01K01,FPSO-CL-TS-WF-01
100-WF-71337-01K01,FPSO-CL-TS-WF-01
100-WF-71340-01K01,FPSO-CL-TS-WF-01
100-WF-71352-01K01,FPSO-CL-TS-WF-01
100-WF-71359-01K01,FPSO-CL-TS-WF-01
1000-PL-13L9006-BD20X-P-50,FPSO-CL-TS-PF-04
13-PSV-6703,WHP PSVs
13-WD-001,WHP Conductors
13-WD-002,WHP Conductors
13-WD-003,WHP Conductors
13-WD-004,WHP Conductors
13-WD-009,WHP Conductors
15-WD-53025-01E01-C,FPSO-CL-TS-WD-02
15-WZ-53816-1SS-CC,FPSO-CL-TS-WD-04
15-WZ-53818-1SS-CC,FPSO-CL-TS-WD-04
15-WZ-53820-1SS-CC,FPSO-CL-TS-WD-04
15-WZ-53855-1SS-CC,FPSO-CL-TS-WD-04
